"","FIPS","YEAR","POP"
"508","13305","1980",20843
"509","13307","1980",2351
"510","13309","1980",5152
"511","13311","1980",10188
"512","13313","1980",66006
"513","13315","1980",7655
"514","13317","1980",10963
"515","13319","1980",10341
"516","13321","1980",18125
"517","16001","1980",174191
"518","16003","1980",3335
"519","16005","1980",65692
"520","16007","1980",6979
"521","16009","1980",8316
"522","16011","1980",36634
"523","16013","1980",9948
"524","16015","1980",3017
"525","16017","1980",24319
"526","16019","1980",66267
"527","16021","1980",7316
"528","16023","1980",3364
"529","16025","1980",818
"530","16027","1980",84006
"531","16029","1980",8724
"532","16031","1980",19520
"533","16033","1980",797
"534","16035","1980",10401
"535","16037","1980",3461
"536","16039","1980",21692
"537","16041","1980",8962
"538","16043","1980",10871
"539","16045","1980",11971
"540","16047","1980",11942
"541","16049","1980",14806
"542","16051","1980",15398
"543","16053","1980",14931
"544","16055","1980",60037
"545","16057","1980",28836
"546","16059","1980",7547
"547","16061","1980",4120
"548","16063","1980",3461
"549","16065","1980",19683
"550","16067","1980",19802
"551","16069","1980",33236
"552","16071","1980",3272
"553","16073","1980",8362
"554","16075","1980",15884
"555","16077","1980",6870
"556","16079","1980",19265
"557","16081","1980",2928
"558","16083","1980",53109
"559","16085","1980",5659
"560","16087","1980",8833
"561","17001","1980",71645
"562","17003","1980",12277
"563","17005","1980",16288
"564","17007","1980",28770
"565","17009","1980",5449
"566","17011","1980",39240
"567","17013","1980",5880
"568","17015","1980",18822
"569","17017","1980",15098
"570","17019","1980",168942
"571","17021","1980",36549
"572","17023","1980",16981
"573","17025","1980",15385
"574","17027","1980",32863
"575","17029","1980",52507
"576","17031","1980",5246504
"577","17033","1980",20939
"578","17035","1980",11081
"579","17037","1980",74756
"580","17039","1980",18137
"581","17041","1980",19834
"582","17043","1980",661534
"583","17045","1980",21812
"584","17047","1980",7998
"585","17049","1980",31113
"586","17051","1980",22250
"587","17053","1980",15330
"588","17055","1980",43424
"589","17057","1980",43771
"590","17059","1980",7651
"591","17061","1980",16715
"592","17063","1980",30687
"593","17065","1980",9219
"594","17067","1980",23970
"595","17069","1980",5411
"596","17071","1980",9128
"597","17073","1980",57961
"598","17075","1980",33114
"599","17077","1980",61874
"600","17079","1980",11357
"601","17081","1980",36860
"602","17083","1980",20614
"603","17085","1980",23601
"604","17087","1980",9697
"605","17089","1980",279000
"606","17091","1980",102918
"607","17093","1980",37370
"608","17095","1980",61549
"609","17097","1980",442608
"610","17099","1980",111941
"611","17101","1980",17902
"612","17103","1980",36432
"613","17105","1980",41423
"614","17107","1980",31894
"615","17109","1980",37730
"616","17111","1980",148237
"617","17113","1980",119426
"618","17115","1980",131253
"619","17117","1980",49545
"620","17119","1980",247689
"621","17121","1980",43771
"622","17123","1980",14504
"623","17125","1980",19470
"624","17127","1980",15044
"625","17129","1980",11722
"626","17131","1980",19366
"627","17133","1980",20211
"628","17135","1980",31930
"629","17137","1980",37567
"630","17139","1980",14577
"631","17141","1980",46454
"632","17143","1980",200511
"633","17145","1980",21811
"634","17147","1980",16622
"635","17149","1980",18962
"636","17151","1980",4422
"637","17153","1980",8848
"638","17155","1980",6117
"639","17157","1980",35705
"640","17159","1980",17738
"641","17161","1980",167103
"642","17163","1980",267471
"643","17165","1980",28593
"644","17167","1980",176147
"645","17169","1980",8370
"646","17171","1980",6138
"647","17173","1980",23962
"648","17175","1980",7390
"649","17177","1980",49759
"650","17179","1980",132142
"651","17181","1980",17866
"652","17183","1980",95182
"653","17185","1980",13782
"654","17187","1980",22009
"655","17189","1980",15521
"656","17191","1980",18168
"657","17193","1980",17974
"658","17195","1980",65986
"659","17197","1980",325071
"660","17199","1980",56892
"661","17201","1980",251177
"662","17203","1980",33444
"663","18001","1980",29676
"664","18003","1980",293922
"665","18005","1980",64995
"666","18007","1980",10193
"667","18009","1980",15569
"668","18011","1980",36617
"669","18013","1980",12378
"670","18015","1980",19777
"671","18017","1980",40924
"672","18019","1980",89067
"673","18021","1980",24823
"674","18023","1980",31575
"675","18025","1980",9816
"676","18027","1980",27914
"677","18029","1980",34388
"678","18031","1980",23856
"679","18033","1980",33534
"680","18035","1980",128460
"681","18037","1980",34326
"682","18039","1980",137360
"683","18041","1980",28276
"684","18043","1980",61441
"685","18045","1980",19134
"686","18047","1980",19689
"687","18049","1980",19337
"688","18051","1980",33283
"689","18053","1980",80750
"690","18055","1980",30473
"691","18057","1980",82523
"692","18059","1980",43983
"693","18061","1980",27426
"694","18063","1980",70002
"695","18065","1980",53240
"696","18067","1980",86814
"697","18069","1980",35564
"698","18071","1980",36640
"699","18073","1980",26302
"700","18075","1980",23241
"701","18077","1980",30439
"702","18079","1980",22873
"703","18081","1980",77612
"704","18083","1980",42009
"705","18085","1980",59680
"706","18087","1980",25683
"707","18089","1980",521525
"708","18091","1980",108695
"709","18093","1980",42454
"710","18095","1980",138875
"711","18097","1980",765561
"712","18099","1980",39337
"713","18101","1980",11020
"714","18103","1980",39687
"715","18105","1980",99268
"716","18107","1980",35497
"717","18109","1980",52206
"718","18111","1980",14841
"719","18113","1980",35429
"720","18115","1980",5123
"721","18117","1980",18701
"722","18119","1980",15860
"723","18121","1980",16435
"724","18123","1980",19364
"725","18125","1980",13455
"726","18127","1980",120059
"727","18129","1980",26434
"728","18131","1980",13238
"729","18133","1980",29216
"730","18135","1980",29957
"731","18137","1980",24445
"732","18139","1980",19577
"733","18141","1980",241431
"734","18143","1980",20444
"735","18145","1980",39958
"736","18147","1980",19430
"737","18149","1980",21967
"738","18151","1980",24750
"739","18153","1980",21111
"740","18155","1980",7179
"741","18157","1980",122035
"742","18159","1980",16795
"743","18161","1980",6872
"744","18163","1980",167539
"745","18165","1980",18261
"746","18167","1980",112305
"747","18169","1980",36603
"748","18171","1980",8990
"749","18173","1980",41638
"750","18175","1980",21973
"751","18177","1980",76037
"752","18179","1980",25426
"753","18181","1980",23902
"754","18183","1980",26251
"755","19001","1980",9497
"756","19003","1980",5714
"757","19005","1980",15100
"758","19007","1980",15493
"759","19009","1980",8551
"760","19011","1980",23668
"761","19013","1980",138068
"762","19015","1980",26232
"763","19017","1980",24842
"764","19019","1980",22952
"765","19021","1980",20817
"766","19023","1980",17670
"767","19025","1980",13521
"768","19027","1980",22982
"769","19029","1980",16974
"770","19031","1980",18650
"771","19033","1980",48504
"772","19035","1980",16233
"773","19037","1980",15431
"774","19039","1980",8624
"775","19041","1980",19562
"776","19043","1980",21096
"777","19045","1980",57098
