"zone","mass_grand_t_10m2","mass_building_commercial_industrial","mass_building_commercial_innercity","mass_building_highrise","mass_building_lightweight","mass_building_multifamily","mass_building_singlefamily","mass_building_skyscraper","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
16,33090211.5,6074865.34375,124199.872680664,14518.3515625,920230,130550.568359375,9451143,0,16715497,381139.84375,113677.984069824,3922327.9375,4417147.90625,11605.5966796875,0,1691833.359375,0,0,0,1703439.109375,0,0,0,117150.551757812,6455278,0,0,24707.9033203125,138166.421875,2680157.375,813759.125,10254119.25,21423.0673828125,3480.18334960938
17,18545869.875,2190167.32763672,45709.80859375,0,513282.224609375,199386.231933594,5624901.09375,0,8573450.078125,36910.86328125,15360.6162109375,1029030.03588867,1081301.47338867,4355.2490234375,0,494379.5546875,0,0,0,498734.796875,0,0,24009.884765625,13399.8414001465,5598751.75,6388.7783203125,1062897.125,2826.12316894531,0,817133.572265625,854085.6484375,8392406.5,12894.1115112305,0
18,57104920,9962204,245161.296875,7079.810546875,1935150.625,999895.625,19422904,0,32572420,196143.34375,443696.5625,5772085.5,6411923.5,15815.931640625,1707.41760253906,1450089.625,0,0,0,1467612.75,0,0,71588.9296875,88076.5546875,10403726,19052.572265625,1156119.875,18575.98828125,368862.53125,2820282.75,1676442.625,16652994,28590.81640625,1706.9921875
19,15193175.125,636094.73828125,3751.49267578125,0,303080.3828125,40704.3483886719,1424396.65625,0,2408024.5625,228585.78125,18879.478515625,332858.140625,580323.453125,0,0,654918.041015625,0,0,0,654918.041015625,0,0,39284.1015625,23678.0076751709,6641809,10453.087890625,3046449.25,4993.86442947388,0,1148241.46875,588551.25,11549921.125,46441.5034179688,0
20,11286496,477488.6875,8293.05078125,0,232636.828125,114565.953125,2245415.25,0,3078406,49032.62890625,0,84043.359375,133076.078125,4265.4658203125,0,206635.03125,0,0,0,210900.578125,0,0,0,19803.466796875,5448187.5,0,0,4176.69775390625,121612.4609375,1503482.75,693013.875,7864131.5,73135.84375,737.647583007812
21,50452024,6383447.5,98639.1875,2315.21899414062,2518974.25,859561.8125,18551310,0,28414226,208478.890625,292847.59375,4326956.5,4828284.5,1055.34057617188,0,529820.0625,0,0,0,530875.4375,0,0,30086.22265625,44011.0625,10620615,8005.62939453125,2605706.25,9282.2578125,1270.76879882812,2623188.25,728166.875,16678591,3787.01440429688,4421.15673828125
22,23984768,2432374.25,25937.853515625,0,1104283.25,179605.3125,4738684.5,0,8480878,246419.234375,8300.64453125,1263650.125,1518370.125,16165.61328125,5097.634765625,719103.875,0,0,0,740366.5625,0,0,0,83172.90625,9078979,0,0,17541.76171875,0,3368917.75,476338.375,13245079,220122.46875,0
23,12445601,1084580.25,27915.181640625,0,341165.375,140485.1875,2919642.75,0,4513792.5,47029.9453125,300.752166748047,261187.015625,308517.46875,1502.67895507812,0,472611.8125,0,0,0,474114.5625,0,0,0,8218.53125,5234862,0,0,1733.34729003906,0,692654.625,1111964,7149145.5,99704.515625,0
24,44449376,5916014.75,49975.68359375,0,1878085,249710.8046875,13755742,0,21849523,162997.486328125,4834.86206054688,3000530.75,3168362.25,0,0,648868.21875,0,0,0,648868.21875,0,0,17359.091796875,47539.23828125,10968387,4619.07177734375,4254265.625,10026.3681640625,0,1335872.625,2119927.875,18782591,24577.48828125,0
25,25950087.1875,3230117.07617188,33420.9375,0,1044119.33496094,410790.244873047,5212639.37109375,0,9931087.859375,3143999.390625,96962.6171875,2336081.25341797,5577049.140625,22089.6953125,0,953872.724609375,0,0,0,975962.73828125,0,0,0,67422.8627929688,5902707.1875,0,0,14219.9644775391,0,1588014.40625,1874997.6640625,9466008.75,18629.0398864746,0
