"state","grand_total_t_10m2","building_hard_lr","building_hard_mr","building_high","building_sky","building","building_wood_lr","building_wood_mr","other_airport","other_parking","other_remaining_impervious","other","rail_bridge","rail_other","rail_railway","rail_shinkansen","rail_subway_elevated","rail_subway_surface","rail_subway","rail","rail_tram","rail_tunnel","street_bridge_motorway","street_bridge_other","street_gravel","street_living_street","street_motorway_elevated","street_motorway","street_other_elevated","street_primary","street_secondary","street_tertiary","street","street_tunnel"
"JP_HG",1324542718.5,268105435.375,422581601.8125,0,1267950.53125,830163096.375,80916456.5625,57289930.265625,885362.359375,8984876.03515625,432075461.625,441946485.125,3458732.28540039,1248.0269203186,1775756.62890625,1202551.671875,31938.349609375,30644.79296875,1180351.3203125,12531992.9140625,0,4850746.94775391,1289954.21948242,373600.778686523,55804.3515472412,801575.221191406,14261.7960090637,8615745.87109375,4120.59754657745,4613075.546875,4688187.92489624,16696507.0913086,39900815.671875,2747643.859375
"JP_HK",2075548713.28125,628990434.085938,392001634.992188,0,645087.4375,1114688904.60938,72781713.5898438,20269827.7181549,5260811.1640625,20621799.4227295,751166291.335938,777049342.679688,1818192.02301788,40755.7467412949,5051083.41503906,198219.703125,43176.60546875,1052.56188964844,1377912.625,19485005.887207,4514.6640625,10950080.9545898,710734.039855957,1682714.39208984,790997.132385254,3232053.1786499,7883.22422075272,26939235.1959229,18559.3555932045,17771100.7919922,17694639.8317871,91478093.8505859,164328129.166992,4001532.34570312
"JP_HS",764987060.5625,125678380.503906,155866965.558594,0,296015.65625,363703020.585938,54660071.2539062,27200255.3271484,411106.9609375,4300504.4095459,233648695.265625,238361219.460938,1572934.64794922,3620.8609161377,1329200.1875,614506.515625,202010.328125,4747.3017578125,62105.65625,10643126.734375,4598.52099609375,6849305.08398438,549441.099609375,1369043.890625,275602.706787109,7244177.78125,6095.92520141602,16227635.6875,15099.7506713867,14779150.46875,16066782.625,92134981.875,152279969.5,3611818.06054688
"JP_IB",1106092182,262316484.75,236737580.5,0,0,619579354,86119486.125,34406086.03125,665911.275024414,8006403.171875,401745556,410418056,684376.899414062,2474.60147094727,1261353.99609375,41387.07421875,0,0,0,2159465.0859375,0,169877.427734375,274912.627929688,833306.75,643456.302612305,456306.995117188,3033.29005432129,8613820,9190.87457275391,8851174.4375,8140143.5,45429052.125,73934869,680362.75
"JP_IS",327766749.03125,81569108.9921875,40498174.375,0,0,162343700.109375,33895234.6015625,6381548.17919922,378373.49609375,4301323.39453125,139107807.75,143787702.25,1469235.74493408,257.927938461304,500598.143554688,155261.53125,0,0,0,3323494.07421875,0,1198156.04492188,4397.6962890625,108697.753692627,18991.740234375,386429.974609375,48.5039939880371,1937233.6171875,1198.87046337128,2909757.22949219,2081280.65673828,10704747.3769531,18311962.3027344,159176.515625
"JP_IW",679624287.5,118647191.03125,80550466.4863281,0,98957.421875,238336482.921875,31863678.3212891,7176527.82043457,280336.78125,3268760.18554688,176551864.0625,180101031.75,2332573.57617188,1189.32192802429,1627576.1328125,905116.19921875,0,0,0,12322197.8125,0,7455703.46875,222971.468261719,1840626.30126953,2496581.296875,17245762.15625,2462.35217285156,23521858.703125,20301.0091629028,17133339.5625,17725867.3125,164975069.0625,248863694.9375,3679360.671875
"JP_KC",270119489.625,58335845.03125,59120504.9609375,0,0,145054551.78125,19449836.859375,8148260.62207031,265722.90625,1963335.9017334,94616652.40625,96845703.21875,236177.03515625,0,480914.255859375,0,0,0,0,1590272.234375,4782.498046875,868413.7265625,150297.307128906,313836.687988281,8577.92905044556,283775.823486328,1657.72997283936,8797526.51953125,3461.43258666992,6327126.390625,3034126.98828125,5450002.61547852,26628322.90625,2257781.0703125
"JP_KG",364377528,93966435.625,82821437,0,72152.421875,207229914,22618162.375,7751144.1875,274337.3125,2136492.34765625,120320033.25,122730753.75,239342.236328125,96.2609968185425,512178.681640625,2625.85693359375,0,0,0,811333.712997437,0,57102.8522949219,359524.353515625,418816.852294922,6793.49682617188,40301.1385726929,3991.25875854492,6287666.51370239,4619.30276489258,6646035.52734375,6483744.375,12773909.28125,33605134.9375,579812.350585938
"JP_KM",533665249,134861669.375,56936995.0625,0,0,244443879.375,47351177.53125,5294355.86328125,444524.109375,4228523.27734375,213822308.5,218495195.125,1457641.1171875,12.0779991149902,770574.186523438,514679.57421875,0,0,0,7261642.203125,1601.55737304688,4517098.796875,210288.765869141,449787.5078125,271654.361328125,4431251.6796875,2319.99398803711,10588680.4375,4960.89874267578,4682213.96875,5520848.890625,34961299.5,63463202.546875,2340026.15625
"JP_KN",1622705295.15674,346777914.09375,702941875.704086,0,4129515.1953125,1128586577.86034,40850521.9765625,33887427.5820312,679308.375,11838167.7216797,408605855.70265,421123153.45265,2187941.05371094,3569.91741943359,2542055.18554688,670709.051269531,123345.25390625,62406.796875,1754466.03125,11342948.5742188,56.5950012207031,3998442.2734375,1526863.0625,1164567.56811523,133256.112426758,117438.790039062,16963.5932617188,7499348,12844.5020728111,3354217.171875,2265103.79003906,43881566.8687744,61654763.0664062,1682604.4152832
