"zone","mass_grand_t_10m2","mass_building_ci","mass_building_dlr","mass_building_mixed","mass_building_sdr","mass_building","mass_building_traditional","mass_other_airport","mass_other_parking","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
25,10980155.78125,15820.5202178955,11121.6373291016,52739.1120452881,1177972.38476562,2022013.6015625,764369.947265625,0,0,0,0,0,0,0,0,0,0,0,0,0,8689.42578125,5954365.765625,0,0,1832.66235351562,0,1216220.66210938,1632769.05859375,8958131.375,144237.284179688,0
26,6456212,290532.3125,37159.66015625,38778.6796875,2055521.75,2767050.25,345061.875,55558.07421875,1354.81127929688,56912.87890625,0,0,0,0,0,0,0,0,0,0,2496.18872070312,3072187,0,0,526.464294433594,0,509274.4375,0,3632235.5,47754.796875,0
27,19435341,65483.181640625,10838.709777832,44879.2256469727,844405.234375,2560135,1594526.875,67607.140625,0,67607.140625,0,0,0,0,0,0,0,0,0,0,31262.4716796875,11776343.25,0,0,6593.4833984375,0,904049.59375,3487325.375,16807568,601954.3125,0
28,10680750.6875,80048.4198379517,22320.2873897552,4158.68514251709,423637.109375,1127218.70947266,597055.208618164,182329.875,1071.75061035156,183401.625,0,0,0,0,0,0,0,0,0,0,14360.2439575195,5636882.63085938,0,0,3028.67923355102,0,0,3584339.234375,9370110.125,131480.676757812,0
29,14480586.59375,47507.9149627686,18527.949924469,19685.9228515625,1033723.8984375,5481310.203125,4361866.96875,27562.595703125,69.0531463623047,27631.6484375,0,0,693016.5234375,0,0,0,693016.5234375,0,0,0,2440.36828613281,6386842.625,0,0,514.691253662109,0,862077.3828125,920006,8278647,106760.14453125,0
30,27338185.625,56883.4537353516,14494.0404968262,35318.7013549805,2185042.8984375,5123677.375,2831963.5625,23414.0703125,0,23414.0703125,0,0,0,0,0,0,0,0,0,0,6760.0341796875,19608508.4375,0,0,1425.73999023438,0,1558691.25,744778.8125,22191131.8125,270971.029785156,0
31,11470.8600769043,148.204513549805,4813.78187561035,1289.28108215332,588.48225402832,7151.58395385742,311.834396362305,0,0,0,0,0,0,0,0,0,0,0,0,0,81.5841674804688,4192.46032714844,0,0,17.2066879272461,0,0,0,4319.27534484863,28.0242938995361,0
32,69803.7020263672,2962.80165863037,30624.0149536133,7520.21545410156,6084.0011138916,49929.5301513672,2738.49634361267,0,1948.89672851562,1948.89672851562,0,0,0,0,0,0,0,0,0,0,0,15552.5115966797,0,0,0,63.9112586975098,0,0,17925.2550964355,2308.83421254158,0
33,30008211.5,67424.041015625,65017.6710510254,170680.715385437,2842047.0625,10789774.125,7644613.375,1119.25756835938,0,1119.25756835938,0,0,744998.46484375,0,0,0,744998.46484375,0,0,0,173638.350341797,11953723.25,0,0,36621.604675293,0,1260396.53125,4811276,18472290.75,233921.529296875,2690.52197265625
34,18258084.390625,67110.8384857178,85269.1227722168,252926.306640625,3525465.46691894,4972586.65820312,1041824.72070312,0,1843.31971549988,1843.31971549988,0,0,0,0,0,0,0,0,0,0,2506.20825195312,9837262.1328125,0,0,528.577339172363,0,630483.875,2719318.53125,13283699.46875,93582.9409179688,0
