zone;sum
346;8373745.15625
347;19720190.25
348;35722381.8125
349;28441347.125
350;36112777.757812
351;20571722.622803
352;75532754.0
353;3582182.25
354;4187248.816406
355;962165.0
356;52874194.5
357;2567176.5
358;11165720.391357
359;1874882.921875
360;5433839.5
361;1293419.362061
362;913918.0
363;2567168.228516
364;4850153.140625
365;7632695.9375
366;10790535.0
367;29448290.0
368;1381041.375
369;3170644.75
370;1618869.65625
371;1270473.5
372;383634.15625
373;3005523.0
374;17291968.5
375;2223680.375
376;9715221.0
377;3079169.046204
378;14378701.75
379;77649568.0
380;1260072.125
381;7878185.004516
382;16811024.375
383;6999556.601562
384;2103799.03125
385;8839153.0
386;13565546.625
387;14665743.0
388;12812875.640625
389;61016639.792969
390;53125205.061767995
391;3869155.75
392;5900937.0
393;7978120.125
394;1512016.625
395;7294123.0
396;1192529.5
397;436661.952148
398;636303.0
399;245094.046875
400;66888368.0
401;6565614.822266
402;1561160.875
403;2321314.914062
404;21562824.8125
405;15681299.0
406;1948069.25
407;2671609.359375
408;2007476.203125
409;232116.005859
410;7047849.695312
411;4838663.15625
412;4370772.3125
413;2332531.376953
414;15481365.9375
415;1798806.044922
416;19685959.820312
417;5972722.75
418;126547317.0
419;12467115.207031
420;2104276.75
421;1774426.511719
422;3053146.5
423;11169661.0
424;145150.015625
425;105340280.0
426;19406664.59375
427;6054838.5
428;314771.934937
429;2163697.25
430;2195237.25
431;27633589.0
432;23497529.363281
433;3204402.75
434;4696390.0
435;22293219.871094
436;995775.9375
437;13521226.5
438;1704679.306885
439;3272135.8125
440;587044.5
441;1734256.625
442;2749336.3085939996
443;784663.023438
444;14765437.566406
445;602579.3125
446;2715386.75
447;1018243.311829
448;492004.09375
449;2417420.0
450;1955174.75
451;8032745.673828
452;22636824.0
453;5587497.5
454;1963176.3984380001
455;2757178.28125
456;32666732.0
457;896495.3125
458;945618.6210940001
459;743030.9570309999
460;3924543.0
461;2057346.399231
462;615919.136108
463;2978424.0
464;3669626.5
465;2011418.625
466;7049679.0
467;3614157.75
468;1296880.515625
469;9683498.0
470;3180456.0
471;4138991.75
472;1510433.3671880001
473;1045624.392334
474;5760913.416016
475;2422153.0
476;2709212.668945
477;166238.96875
478;1854217.625
479;47904090.828125
480;492395.5
481;11515001.0
482;7448710.416016
483;4355232.5
484;1386479.921875
485;2509814.824219
486;4713381.5
487;385807.375
488;670878.5625
489;170731.921875
490;449304.5
491;659901.368164
492;1731572.875
493;1502274.15625
494;7101952.6875
495;9733060.25
496;1209074.375
497;5004601.375
498;10654260.0
499;1560398.1875
500;2834748.5
501;816362.75
502;4814974.0
503;1757490.729004
504;3270213.991211
505;8504226.0
506;636923.514404
507;8489455.356812
508;21308856.0
509;4472666.99707
510;2653593.0
511;2874854.5
512;5871980.5
513;376010.045898
514;1931553.390137
515;849841.125
516;1246287.125
517;209416.507324
518;5505439.0
519;1138286.09375
520;1744220.09375
521;540029.125
522;1420618.5
523;1022916.6875
524;4800838.5
525;2109016.75
526;24045732.25
527;4896460.082031
528;3528685.75
529;3793982.5625
530;4212145.5
531;2436425.414063
532;3068569.875
533;2498746.275391
534;13201340.754883
535;1407588.0
536;4455950.75
537;11430519.0
538;2548369.5
539;2429003.314941
540;2182845.498047
541;2780030.25
542;4566159.0
543;2905342.75
544;692066.884277
