zone;sum
147;1642826.421875
148;885865.421875
149;840824.4161990001
150;1381495.0
151;8712620.191406
152;3012520.402344
153;3025990.875
154;3828932.015503
155;4716639.4375
156;736118.0
157;4221117.203125
158;3360279.40625
159;14980134.1875
160;326357.0625
161;0.0
162;2349819.703125
163;0.0
164;600315.429688
165;9025205.875
166;0.0
167;103419.388245
168;4894673.535156
169;751258.3125
170;613343.8125
171;4294371.726562
172;28428.399887
173;8680681.121094
174;1741976.71875
175;0.0
176;28309233.939453
177;2880728.34375
178;3047473.0625
179;1980167.0
180;1232062.428711
181;1539559.794922
182;392466.21875
183;8161.151367
184;892.779602
185;2381981.914062
186;785264.59375
187;783174.890625
188;3553748.0
189;4270300.28125
190;3183790.421875
191;5416296.233154
192;21469656.232544
193;2782892.078125
194;3938084.875
195;5396900.910156
196;131958.359375
197;5472442.5
198;1919471.8671880001
199;225059.6875
200;6758859.84961
201;3346006.4375
202;4191019.40625
203;4137984.850586
204;2284814.351562
205;1405828.595703
206;1586254.234375
207;3052539.250488
208;513910.09375
209;947275.46875
210;1076959.53125
211;3074904.625
212;504671.1875
213;79828.367188
214;2171266.875
215;1732244.5
216;962582.9375
217;1126962.199219
218;8835.684325999999
219;3505246.5
220;607880.0664059999
221;1682914.03125
222;1216243.982422
223;1358076.59375
224;108774.25
225;219054.205078
226;1190551.75
227;107855.84375
228;662132.5
229;563766.203125
230;559732.375
231;0.0
232;3543071.25
233;0.0
234;1246390.625
235;1509557.5625
236;1861578.164062
237;513417.0625
238;1851889.523438
239;1034085.390625
240;1481051.875
241;527993.0625
242;1830418.375
243;98583.219238
244;0.0
245;1390199.8125
246;1195.52771
247;1305157.0
248;1539038.375
249;1099888.8125
250;233637.136719
251;1299796.875
252;388320.19043
253;2139862.0
254;1926578.703125
255;2601685.25
256;2459848.3125
257;992482.09375
258;290893.0625
259;1178086.507812
260;276546.40625
261;0.0
262;1595774.1484380001
263;4121.04248
264;3678.0770869999997
265;642812.6875
266;40013.713623
267;796429.0
268;5439371.5
269;199040.324219
270;973224.570312
271;2104027.25
272;690618.125
273;18453.450699
274;100419.414062
275;326.053009
276;10960.469727
