"zone";"area_building_arco";"area_building_dcmix";"area_building_high";"area_building_irh";"area_building_light";"area_building_mlr";"area_building_sdr";"area_building_sky";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_cycleway";"area_street_exclude";"area_street_footway";"area_street_gravel";"area_street_living_street";"area_street_motorway_elevated";"area_street_motorway_link";"area_street_motorway";"area_street_other_elevated";"area_street_other";"area_street_pedestrian";"area_street_primary_link";"area_street_primary";"area_street_residential";"area_street_secondary_link";"area_street_secondary";"area_street_tertiary_link";"area_street_tertiary";"area_street_trunk_link";"area_street_trunk";"area_street_tunnel"
15;0;566633;186143;2935456;1209406;0;10298447;0;11618;2173566;9641642;47664;37264;33351;972896;0;0;0;0;54945;78745;356507;67614;24149;144700;18189;7813;79918;71334;162714;356507;531181;11408;7653;394836;2388190;0;120566;0;190998;20285;476054;6909
16;0;98246;4889;620036;946656;0;8223554;0;196583;426415;4885878;31783;24565;787;1004239;0;0;0;34000;21696;0;178109;18042;6820;158446;41409;0;0;0;8749;178109;531076;3205;3225;665101;2966888;0;118289;0;454087;16246;288149;1798
17;0;272109;44286;3465933;2450177;0;20649646;0;532065;2400951;11233906;61620;573541;83141;2640172;1515;73975;0;0;21938;81395;1238510;49341;529294;1136930;498864;2079;81531;150616;415863;1238510;2909084;7468;9737;1264790;4065981;1134;434350;3971;2076904;52309;1667998;6424
18;0;227670;70136;6388009;3229045;0;25389529;0;1066514;3978770;14047077;58214;887383;85047;3877838;0;0;0;0;0;90004;2072891;419686;373412;1195673;1127122;14917;90116;105060;1311582;2072891;3955098;11338;45105;1714669;6567049;545;1555260;1097;3859014;268937;3174807;1751
19;0;1799163;438459;555863;382345;0;3414080;0;0;179690;3696184;68741;118862;36297;928731;4670;42259;363666;0;410369;0;85500;16975;3307;82244;8160;4719;0;0;0;85500;251268;19492;1810;206107;587541;0;43687;0;90239;1154;101248;13107
20;0;578338;95491;9417311;3761945;0;31213743;0;223559;5368289;25003291;258184;537672;80599;6349424;0;0;0;0;84506;100717;1475932;368103;566216;2038140;1083661;12569;100773;198133;1365578;1475932;5519195;19108;25755;2163372;10128755;4857;1003174;3034;4158231;245530;4670356;13160
21;0;56695;4513;5480992;5066249;0;22710704;0;1760618;2906326;17434956;192198;994582;151047;3111908;0;0;0;0;49518;272951;2465852;40259;77957;331720;255141;599;272951;0;70258;2465852;2577244;20713;2676;978992;1282134;0;690445;0;544194;121338;2253696;19857
22;0;223758;79776;597223;790424;0;7039510;0;87536;339682;5193628;29201;22138;5062;881832;0;0;0;169179;26746;0;161442;19885;16707;43549;13274;657;0;0;239;161442;204898;1648;3599;381097;2206222;0;76231;2202;233307;9898;150126;2492
23;0;644550;179741;6505608;3432129;0;25648557;0;700178;3420243;22302964;216219;1954732;224917;7579333;0;0;0;0;103421;39324;3700853;131324;847766;849424;761421;0;39324;135790;2729076;3700853;6206881;20593;2564;2233836;1371725;844;1198755;0;2094723;60878;4085118;929
24;0;162994;11789;1090544;427055;0;3393162;0;244746;469814;3757292;13974;59317;6801;449129;0;0;0;0;136;0;232597;216;4774;4905;7667;0;0;13529;7129;232597;96389;1761;0;159693;69708;0;43662;0;47899;978;243630;0
25;0;302831;77024;7863715;3944036;0;32560002;0;132248;4003762;27916007;194492;1336230;297004;5223980;0;0;0;19495;281565;107052;2607717;230864;408735;1367706;1007100;3834;107052;71997;1045264;2607717;3774560;14956;507;1689642;4387867;0;745518;660;2111207;238205;3371012;6998
26;0;256056;57218;1987921;529627;0;4661466;0;0;1400135;4872302;11676;9668;9674;666834;0;0;0;0;0;6610;201542;69680;7681;50715;22477;12255;6610;0;0;201542;240506;5014;13202;158130;1153637;0;12125;1701;305719;26100;269669;219
27;0;331093;30439;7813376;5419388;0;36775553;0;949347;4041937;20795985;137723;1802052;232382;3915535;0;0;0;34643;93742;120782;3774496;303864;246867;716749;815596;6936;120855;90303;1174391;3774496;11814350;53692;39084;3067078;4631117;2513;1104606;18419;1538127;331462;3579746;4922
28;0;98463;5170;3569376;3224461;0;20650590;0;487050;2539684;12022247;40827;773618;142865;1629535;0;0;0;115;37686;109624;2149208;69704;328583;407299;352667;4407;109624;6022;25755;2149208;2093553;5260;723;941154;2144195;0;603570;823;793755;98823;1030544;4144
29;0;221084;14013;4894303;2319824;0;18074809;0;106128;1777245;18061937;81619;1889611;287457;1515318;0;0;0;17989;14326;11666;1354168;198531;273954;579169;442804;14320;11666;57926;610750;1354168;1653775;10952;6533;1059195;1551662;325;899094;0;1547921;85917;2654128;6283
30;0;134214;41042;1884005;772777;0;6844822;0;0;359156;5997830;53823;22189;14080;861462;26847;380794;31873;0;20598;42451;154354;60043;4715;94635;8833;456;42745;0;0;154354;226002;2474;834;187858;1755336;0;62428;2618;133736;37538;221107;5152
31;0;94919;8686;6015790;2573309;0;17111469;0;311936;1593470;14403828;29625;756725;34226;2041156;0;0;0;0;8753;9541;1222509;200406;131441;235118;250857;0;9541;25842;603496;1222509;4019709;5496;8149;1532708;4228813;209;1261456;0;1287113;59765;2827069;379
32;0;72751;5645;2609548;2556635;0;16395941;0;136694;1736683;8478982;40820;475297;112118;2614706;0;0;0;0;106528;753;1060536;137212;271428;264238;359248;743;753;6724;0;1060536;2267316;4445;3552;1278376;3693662;440;567199;374;1658885;15835;1491698;13777
33;0;316401;41938;2702847;1775704;0;15679124;0;0;1561266;13062588;69393;54540;2052;1114031;35450;316599;78697;0;45784;34357;385498;100712;48406;271058;42310;0;34427;44917;449452;385498;550802;0;28180;1004492;4926970;2216;94311;2113;547609;42865;827264;18434
34;0;373724;14618;9551587;6484788;0;47465187;0;2225915;6191003;34000838;88011;535807;177479;4193752;4186;266924;2892;5619;62645;158771;3194605;209646;405048;1089804;820851;17495;158771;155628;1438226;3194605;6060184;24315;33955;2206710;8457199;1438;1436205;4181;4185198;459931;3414975;38635
35;0;252978;17859;5640841;3188812;0;23548677;0;1757846;2854876;13683916;87576;976620;270656;2596666;0;0;0;0;82744;162856;1816721;161988;273037;788036;632767;3763;162856;143520;2019472;1816721;6566688;51182;3840;2081338;4535811;2247;1032901;1974;1145289;94624;4078767;3379
36;0;182713;49734;957190;563717;0;5020146;0;0;378478;4474474;11870;103414;0;425711;0;0;0;0;125471;2528;143476;17508;4236;66876;39399;0;2528;0;0;143476;313265;2444;15349;309493;1749146;316;57072;1081;159037;18667;365036;7804
37;0;560328;33764;375058;342291;0;3044561;0;0;125076;3150961;109228;21009;1180;427076;0;0;12370;0;141847;2853;93356;38658;6645;37269;5516;534;2853;0;2250;93356;139158;2393;5140;92000;556935;484;30343;522;60783;1431;112688;7951
