"zone","mass_grand_t_10m2","mass_building_dcmix_hr","mass_building_dcmix_lr","mass_building_dcmix_mr","mass_building_irh","mass_building_light","mass_building_sdr_hr","mass_building_sdr_lr","mass_building_sdr_mr","mass_building_sky","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_cycleway","mass_street_footway","mass_street_gravel","mass_street_living_street","mass_street_motorway_elevated","mass_street_motorway_link","mass_street_motorway","mass_street_other_elevated","mass_street_other","mass_street_pedestrian","mass_street_primary_link","mass_street_primary","mass_street_residential","mass_street_secondary_link","mass_street_secondary","mass_street_tertiary_link","mass_street_tertiary","mass_street","mass_street_trunk_link","mass_street_trunk","mass_street_tunnel"
328,43471856,2319223.5,116394.5546875,4848972,1596837.75,520665.875,191546.359375,5206774,12231789,1582062.875,28614276,0,376050.40625,5255295,5631354,1460122.875,0,232306.328125,0,20533.552734375,1720308.625,3605136,0,171870.453125,0,333814.0625,17020.96484375,117470.65625,2037.81005859375,756.357666015625,0,0,2985.49926757812,6966.38134765625,848988.375,44088.640625,4180.22607421875,398485.5625,3070483.25,3907.75756835938,158426.34375,0,362588.78125,5621117.5,0,199502.9375,49412.8984375
329,25683500,70181.8828125,4585.37451171875,452801.5625,1369470.625,887858.6875,9110.3388671875,8798861,2469134.75,0,14062009,0,718283,4755466,5473750.5,40776.44140625,384.553558349609,110287.53125,0,0,0,172647.78125,15391.373046875,5807.86279296875,0,243211.875,14644.8798828125,72161.2265625,10926.2099609375,4694.45068359375,0,0,0,5586.27099609375,589339.8125,13923.072265625,0,134043,3996804.5,0,247513.890625,0,398500.5625,5975100,582.201904296875,241868.953125,1295.61169433594
330,43412434,4178602.25,44634.4921875,6554455.5,1635733.5625,138431.828125,384562.703125,1373676.75,10946315.25,2875068,28131493,0,357429.734375,5622168,5979598.25,890821.21875,6018.10906982422,185393.734375,32224.6186523438,42822.03125,1996235.6875,4735765.5,0,1582247.6875,0,434693.109375,9772.341796875,87109.55859375,35.5253944396973,20811.0913085938,0,0,0,12318.9104003906,849294.53125,20683.9345703125,23429.3957519531,114616.6015625,1608473.5625,0,154584.03125,2003.30346679688,196213.953125,4565590.125,63283.6098632812,417683.9375,550582.96875
331,32010364,7039.939453125,84584.359375,955724.4375,1474358.75,932556.8125,1522.29541015625,9305321,5799075.5,0,18560166,0,588822.3125,6304369,6893187,236813.03125,1837.24291992188,196342.015625,0,130435.4375,747655.0625,1441034,0,127950.359375,23575.830078125,355606.28125,7742.60595703125,43968.140625,11109.650390625,1217.3251953125,0,0,0,7240.13916015625,391240.25,8452.3955078125,33945.02734375,286129.4375,3334212.5,1314.49792480469,68574.5390625,3784.01733398438,170272.96875,5115968.5,35272.38671875,238734.75,93577.2109375
332,42556136,895975.25,96176.5546875,2986374.5,1563026.5,713341.9375,161730.375,7119665.5,15300282,0,28836566,4261.36328125,334266.28125,5612630,5951156.5,456021.78125,2485.13916015625,328250,40471.26953125,75736.734375,799969.8125,1844937.25,0,142003.296875,0,229662.984375,11294.064453125,71786.484375,2450.94506835938,0,0,0,0,6248.63134765625,419195.15625,18816.21875,6135.857421875,174166.390625,4021242,0,157708.53125,1385.69653320312,275249.0625,5923446,43384.1796875,480422.3125,4298.2158203125
333,66242928,6289800.5,191900.640625,29313058,817339.0625,72026.1484375,375304.34375,689671.1875,10840674,880478.375,49470224,0,290971.15625,4698326,4989303,50676.296875,11305.2568359375,101592.71875,2415.63061523438,87927.6328125,6514660.5,7640357.5,0,871774.875,0,654183.8125,4396.8525390625,125427.5390625,829.640441894531,5351.46337890625,0,0,0,24159.029296875,728880.5625,78846.6953125,6642.55126953125,404951.75,1451204.625,236.174575805664,133079.6875,3034.73828125,214303.265625,4143037.25,15338.603515625,257207.40625,34962.58984375
334,46656520,13260.3349609375,45077.9921875,350697.96875,2738408.25,1322577.75,5159.466796875,11930116,3987187.5,0,20392470,287744.375,550013.25,8470327,9308086,79993.203125,36575.12890625,314128.25,0,0,0,432060.875,0,1364.32006835938,23808.033203125,1930726.75,23657.912109375,28698.34765625,78044.640625,0,0,0,0,7188.81103515625,4855279,3602.96508789062,31526.08984375,1715764.875,3499846.25,0,949020.25,0,3022386,16523952,48823.8125,304227.9375,1328.71118164062
335,31764492,338523.78125,162319.5,2434686,2806893.25,746817.625,41671.49609375,7392849.5,3137975,0,17061730,92456.1796875,757184.75,5209502,6059141.5,7950.21435546875,590.058959960938,86627.3828125,0,0,0,156557.84375,0,61390.1796875,7297.8447265625,313856.53125,9753.251953125,70725.5859375,3781.31225585938,4413.63134765625,0,0,0,3297.00927734375,1173649.75,30782.818359375,0,517198.6875,4492689,0,166616.53125,1398.23681640625,1064929.625,8487081,44481.46875,560767.3125,21439.064453125
336,13770947,6940.4794921875,57832.16796875,365092.25,1862138.125,363539.9375,2268.00073242188,3578235.75,1152354.25,0,7388395.5,0,260600.265625,1950799.625,2211403.25,14055.48828125,0,56883.890625,0,0,0,72354.15625,0,1415.0068359375,0,610441.875,9494.1787109375,26706.412109375,12374.173828125,0,0,0,0,3462.02001953125,640401.875,0,0,398678.15625,2013353.125,0,275045.4375,0,40845.125,4098767.25,0,67702.265625,264.796539306641
337,103525736,596880.220703125,111336.909423828,2100896.94042969,6460220.6875,2829295.5,66368.4304199219,26955949,9644169.625,0,48765107,569342.88671875,3183727.6640625,18533980.75,22287048.125,267935.019042969,102792.801025391,852211.90625,0,0,0,1307557.60839844,0,84617.3784179688,290226.796875,2624137.96875,55229.8381347656,177074.803710938,199117.626953125,3858.6162109375,9884.875,158749.015625,591060.629882812,14823.0597839355,5276548.1875,15849.0712890625,0,1756224.796875,12110820.625,30687.154296875,2602949.40625,1009.48931884766,3745216.78125,31165972.75,107902.4609375,1385366.17578125,9248.96630859375
